# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7293   0.6120   0.4030   Upper   B0 v -> Y ^    g75795__6260
0.7242   0.6120   0.3781   Upper   A0 v -> Y ^    g75795__6260
0.7293   0.6120   0.2633   Upper   B1 v -> Y ^    g75793__2398
0.7242   0.6120   0.2456   Upper   A1 v -> Y ^    g75793__2398
0.7293   0.6120   0.3817   Upper   B0 v -> Y ^    g75789__1666
0.7242   0.6120   0.3577   Upper   A0 v -> Y ^    g75789__1666
0.7293   0.6120   0.2836   Upper   B1 v -> Y ^    g75787__2883
0.7242   0.6120   0.2685   Upper   A1 v -> Y ^    g75787__2883
0.7293   0.6120   0.2764   Upper   B1 v -> Y ^    g75805__8246
0.7242   0.6120   0.2600   Upper   A1 v -> Y ^    g75805__8246
0.7242   0.6120   0.3627   Upper   B0 v -> Y ^    g75783__4733
0.7510   0.6120   0.3476   Upper   A0 v -> Y ^    g75783__4733
0.7242   0.6120   0.3401   Upper   B0 v -> Y ^    g75802__2802
0.7510   0.6120   0.3278   Upper   A0 v -> Y ^    g75802__2802
0.7242   0.6120   0.3717   Upper   B0 v -> Y ^    g75766__5107
0.7510   0.6120   0.3555   Upper   A0 v -> Y ^    g75766__5107
0.7242   0.6120   0.2467   Upper   B1 v -> Y ^    g75785__9315
0.7510   0.6120   0.2360   Upper   A1 v -> Y ^    g75785__9315
0.7510   0.6120   0.3369   Upper   B0 v -> Y ^    g75801__1617
0.7229   0.6120   0.3127   Upper   A0 v -> Y ^    g75801__1617
0.7510   0.6120   0.3287   Upper   B0 v -> Y ^    g75775__1705
0.7229   0.6120   0.3055   Upper   A0 v -> Y ^    g75775__1705
0.7510   0.6120   0.3481   Upper   B0 v -> Y ^    g75796__4319
0.7229   0.6120   0.3226   Upper   A0 v -> Y ^    g75796__4319
0.7510   0.6120   0.2060   Upper   B1 v -> Y ^    g75794__5107
0.7229   0.6120   0.1957   Upper   A1 v -> Y ^    g75794__5107
0.7510   0.6120   0.3027   Upper   B0 v -> Y ^    g75791__6417
0.7229   0.6120   0.2824   Upper   A0 v -> Y ^    g75791__6417
0.7510   0.6120   0.2595   Upper   B1 v -> Y ^    g75788__2346
